	Time	 MBG_Glass_Air_OD0.5	 MBG_Glass_Air_OD0	 MBG_Glass_Air_OD1	Fit_ MBG_Glass_Air_OD0.5	Fit_ MBG_Glass_Air_OD0	Fit_ MBG_Glass_Air_OD1
0	-40.99999884044095	-0.0021079258010118043	-0.004882102420276306	0.007449546254909928	NaN	NaN	NaN
1	-39.99999886872288	-0.0027403035413153458	-0.0007271216370624286	-0.004469727752945957	NaN	NaN	NaN
2	-38.99999889700481	-0.0006323777403035413	0.001765866832865898	-0.013138290667750237	NaN	NaN	NaN
3	-37.99999892528673	0.00505902192242833	0.0030123610678300613	0.004740620344033591	NaN	NaN	NaN
4	-36.999998953568664	0.0037942664418212477	0.0003116235587410408	-0.006365975890559393	NaN	NaN	NaN
5	-35.99999898185059	0.002529510961214165	0.0025968629895086735	-0.0004063388866314506	NaN	NaN	NaN
6	-34.99999901013252	0.00442664418212479	0.005713098576919082	0.022348638764729784	NaN	NaN	NaN
7	-33.999999038414444	-0.007588532883642495	0.0032201101069907552	0.0077204388459975615	NaN	NaN	NaN
8	-32.999999066696375	0.0016863406408094434	-0.0019736158720265917	0.0036570499796830555	NaN	NaN	NaN
9	-31.999999094978303	-0.002951096121416526	0.0005193725979017347	0.0004063388866314506	NaN	NaN	NaN
10	-30.99999912326023	-0.0027403035413153458	-0.0025968629895086735	0.004469727752945957	NaN	NaN	NaN
11	-29.99999915154216	-0.004005059021922428	0.00010387451958034694	0.0014899092509819856	NaN	NaN	NaN
12	-28.999999179824087	0.0021079258010118043	-0.00010387451958034694	0.0006772314777190844	NaN	NaN	NaN
13	-27.999999208106015	-0.001475548060708263	0.0009348706762231225	0.0020316944331572532	NaN	NaN	NaN
14	-26.999999236387943	-0.002318718381112985	-0.0028046120286693674	0.001219016659894352	NaN	NaN	NaN
15	-25.99999926466987	-0.00042158516020236085	0.0015581177937052041	-0.00392794257077069	NaN	NaN	NaN
16	-24.9999992929518	0.00505902192242833	-0.0030123610678300613	0.00907490180143573	NaN	NaN	NaN
17	-23.999999321233727	0.0021079258010118043	0.0028046120286693674	-0.010971149939049168	NaN	NaN	NaN
18	-22.999999349515655	0.0006323777403035413	-0.0005193725979017347	-0.005824190708384126	NaN	NaN	NaN
19	-21.999999377797582	0.0035834738617200675	0.003427859146151449	0.004740620344033591	NaN	NaN	NaN
20	-20.99999940607951	0.0037942664418212477	0.0032201101069907552	-0.0020316944331572532	NaN	NaN	NaN
21	-19.99999943436144	-0.0006323777403035413	-0.0009348706762231225	-0.0009481240688067181	NaN	NaN	NaN
22	-18.999999462643366	-0.001475548060708263	-0.005297600498597694	-0.004740620344033591	NaN	NaN	NaN
23	-17.999999490925294	0.0006323777403035413	0.0025968629895086735	0.0006772314777190844	NaN	NaN	NaN
24	-16.999999519207222	0.0010539629005059021	-0.003843357224472837	0.005553298117296492	NaN	NaN	NaN
25	-15.999999547489152	-0.0016863406408094434	0.0030123610678300613	0.001219016659894352	NaN	NaN	NaN
26	-14.99999957577108	-0.0054806070826306915	0.0025968629895086735	-0.0017608018420696193	NaN	NaN	NaN
27	-13.999999604053007	0.00042158516020236085	-0.0023891139503479796	-0.003115264797507788	NaN	NaN	NaN
28	-12.999999632334935	0.0012647554806070826	0.0013503687545445102	-0.001219016659894352	NaN	NaN	NaN
29	-11.999999660616863	-0.006112984822934233	-0.0030123610678300613	-0.009887579574698631	NaN	NaN	NaN
30	-10.999999688898791	0.0021079258010118043	-0.0005193725979017347	0.0004063388866314506	NaN	NaN	NaN
31	-9.99999971718072	-0.003372681281618887	-0.0011426197153838163	0.003115264797507788	NaN	NaN	NaN
32	-8.999999745462647	-0.003372681281618887	-0.0032201101069907552	-0.011783827712312069	NaN	NaN	NaN
33	-7.999999773744576	-0.0006323777403035413	-0.0009348706762231225	-0.0014899092509819856	NaN	NaN	NaN
34	-6.999999802026504	0.0018971332209106238	-0.0032201101069907552	0.00392794257077069	NaN	NaN	NaN
35	-5.999999830308432	-0.0031618887015177066	-0.0040511062636335304	-0.0025734796153325207	NaN	NaN	NaN
36	-4.99999985859036	0.002529510961214165	0.0005193725979017347	-0.005282405526208858	NaN	NaN	NaN
37	-3.999999886872288	0.0010539629005059021	0.0023891139503479796	0.001219016659894352	NaN	NaN	NaN
38	-2.999999915154216	-0.006745362563237774	-0.005505349537758388	-0.00907490180143573	NaN	NaN	NaN
39	-1.999999943436144	0.08389544688026981	0.09795367196426717	0.102803738317757	NaN	NaN	NaN
40	-0.999999971718072	0.9258010118043845	0.9515944738755583	0.9184613300826222	NaN	NaN	NaN
41	0.0	1.0	1.0	1.0	1.0	1.0	1.0
42	0.999999971718068	0.9295952782462057	0.9154461410615976	0.9382364892320195	0.9679921175008277	0.9342258221384397	0.9816553802334602
43	1.99999994343614	0.9047217537942664	0.9011114573595097	0.9238791819043749	0.951002000127049	0.9052484246075427	0.9708459820395292
44	2.9999998041319	0.8676222596964587	0.860184896644853	0.9089800893945551	0.9372726787829955	0.8830558942961863	0.9618255993049715
45	3.99999988687227	0.8594013490725126	0.8319310273189986	0.8688879859135853	0.9253476584789828	0.8644630301707515	0.953818799287974
46	4.99999996961265	0.823566610455312	0.7872649838994494	0.8374644453474197	0.9146291893368974	0.8482077178469739	0.9465008850959388
47	5.99999960826381	0.8195615514333895	0.7820712579204321	0.8393606934850332	0.9047982605909645	0.8336325970628422	0.9396961825945239
48	6.99999969100418	0.802487352445194	0.7558948789861847	0.8065826899634295	0.895659376592437	0.8203424776609193	0.9332958865043092
