	Time	 MBG_Glass_Air_OD0	 MBG_Glass_Air_OD1	Fit_ MBG_Glass_Air_OD0	Fit_ MBG_Glass_Air_OD1
0	-40.99999884044095	-0.004882102420276306	0.007449546254909928	NaN	NaN
1	-39.99999886872288	-0.0007271216370624286	-0.004469727752945957	NaN	NaN
2	-38.99999889700481	0.001765866832865898	-0.013138290667750237	NaN	NaN
3	-37.99999892528673	0.0030123610678300613	0.004740620344033591	NaN	NaN
4	-36.999998953568664	0.0003116235587410408	-0.006365975890559393	NaN	NaN
5	-35.99999898185059	0.0025968629895086735	-0.0004063388866314506	NaN	NaN
6	-34.99999901013252	0.005713098576919082	0.022348638764729784	NaN	NaN
7	-33.999999038414444	0.0032201101069907552	0.0077204388459975615	NaN	NaN
8	-32.999999066696375	-0.0019736158720265917	0.0036570499796830555	NaN	NaN
9	-31.999999094978303	0.0005193725979017347	0.0004063388866314506	NaN	NaN
10	-30.99999912326023	-0.0025968629895086735	0.004469727752945957	NaN	NaN
11	-29.99999915154216	0.00010387451958034694	0.0014899092509819856	NaN	NaN
12	-28.999999179824087	-0.00010387451958034694	0.0006772314777190844	NaN	NaN
13	-27.999999208106015	0.0009348706762231225	0.0020316944331572532	NaN	NaN
14	-26.999999236387943	-0.0028046120286693674	0.001219016659894352	NaN	NaN
15	-25.99999926466987	0.0015581177937052041	-0.00392794257077069	NaN	NaN
16	-24.9999992929518	-0.0030123610678300613	0.00907490180143573	NaN	NaN
17	-23.999999321233727	0.0028046120286693674	-0.010971149939049168	NaN	NaN
18	-22.999999349515655	-0.0005193725979017347	-0.005824190708384126	NaN	NaN
19	-21.999999377797582	0.003427859146151449	0.004740620344033591	NaN	NaN
20	-20.99999940607951	0.0032201101069907552	-0.0020316944331572532	NaN	NaN
21	-19.99999943436144	-0.0009348706762231225	-0.0009481240688067181	NaN	NaN
22	-18.999999462643366	-0.005297600498597694	-0.004740620344033591	NaN	NaN
23	-17.999999490925294	0.0025968629895086735	0.0006772314777190844	NaN	NaN
24	-16.999999519207222	-0.003843357224472837	0.005553298117296492	NaN	NaN
25	-15.999999547489152	0.0030123610678300613	0.001219016659894352	NaN	NaN
26	-14.99999957577108	0.0025968629895086735	-0.0017608018420696193	NaN	NaN
27	-13.999999604053007	-0.0023891139503479796	-0.003115264797507788	NaN	NaN
28	-12.999999632334935	0.0013503687545445102	-0.001219016659894352	NaN	NaN
29	-11.999999660616863	-0.0030123610678300613	-0.009887579574698631	NaN	NaN
30	-10.999999688898791	-0.0005193725979017347	0.0004063388866314506	NaN	NaN
31	-9.99999971718072	-0.0011426197153838163	0.003115264797507788	NaN	NaN
32	-8.999999745462647	-0.0032201101069907552	-0.011783827712312069	NaN	NaN
33	-7.999999773744576	-0.0009348706762231225	-0.0014899092509819856	NaN	NaN
34	-6.999999802026504	-0.0032201101069907552	0.00392794257077069	NaN	NaN
35	-5.999999830308432	-0.0040511062636335304	-0.0025734796153325207	NaN	NaN
36	-4.99999985859036	0.0005193725979017347	-0.005282405526208858	NaN	NaN
37	-3.999999886872288	0.0023891139503479796	0.001219016659894352	NaN	NaN
38	-2.999999915154216	-0.005505349537758388	-0.00907490180143573	NaN	NaN
39	-1.999999943436144	0.09795367196426717	0.102803738317757	NaN	NaN
40	-0.999999971718072	0.9515944738755583	0.9184613300826222	NaN	NaN
41	0.0	1.0	1.0	0.6121343276524138	0.8003733575459744
42	0.999999971718068	0.9154461410615976	0.9382364892320195	0.6069933006588654	0.7958486746281827
43	1.99999994343614	0.9011114573595097	0.9238791819043749	0.603026208822508	0.7923485951440484
44	2.9999998041319	0.860184896644853	0.9089800893945551	0.5994211510975194	0.7891613789330378
45	3.99999988687227	0.8319310273189986	0.8688879859135853	0.5960387523864035	0.7861652963807005
46	4.99999996961265	0.7872649838994494	0.8374644453474197	0.5928167418108508	0.7833060959116137
47	5.99999960826381	0.7820712579204321	0.8393606934850332	0.5897198810147761	0.7805531478516838
48	6.99999969100418	0.7558948789861847	0.8065826899634295	0.5867255606860626	0.7778868430623495
49	7.99999977374455	0.7425989404799003	0.7908709196803467	0.5838180834805107	0.7752935963460483
50	8.99999985648492	0.7182923028980991	0.7954760937288365	0.5809859309387495	0.7727634599036497
51	9.99999993922529	0.696686402825387	0.7605309494785317	0.5782203018853563	0.7702888482789243
52	11.0000000219657	0.6950244105121014	0.7415684681023974	0.5755142583263247	0.7678637939056431
53	11.9999992165276	0.6804819777708528	0.7258566978193146	0.5728621962593038	0.7654834863129253
54	12.999999299268	0.6815207229666563	0.7461736421508872	0.5702594885458628	0.7631439611115957
55	13.9999993820084	0.657214085384855	0.7226059867262631	0.5677022621492467	0.7608419067147627
56	14.9999994647487	0.6549288459540875	0.7445482866043613	0.5651872218443724	0.7585745109201489
57	15.9999995474891	0.6468266334268205	0.7364215088717324	0.5627115317879371	0.7563393581773523
58	16.9999996302295	0.6408019112911603	0.7437356088310985	0.5602727259295088	0.7541343518828667
59	17.9999997129698	0.6252207333541082	0.730732764458892	0.5578686401991928	0.7519576556089088
60	18.9999997957102	0.5936428794016828	0.7058106460788297	0.5554973602540276	0.7498076478515603
61	19.9999998784506	0.6173262698660019	0.6854937017472572	0.5531571805762925	0.7476828866368306
62	20.999999961191	0.5886569024618261	0.7052688608966545	0.5508465720090006	0.7455820814490804
63	22.0000000439313	0.582008933208684	0.7003927942570771	0.5485641556661555	0.7435040706886051
64	23.0000001266717	0.587410408226862	0.6703237166463497	0.5463086817308496	0.7414478033661697
